Date,Open,High,Low,Close,Adj Close,Volume
2016-07-04,92.279999,92.599998,89.639999,90.000000,83.845215,3009250
2016-07-05,89.400002,89.639999,88.400002,89.040001,82.950890,3525510
2016-07-06,88.000000,88.760002,86.400002,86.800003,80.864059,5006600
2016-07-07,87.860001,88.720001,87.519997,87.940002,81.926102,4001945
2016-07-08,88.000000,89.260002,86.199997,88.500000,82.447807,4477410
2016-07-11,89.199997,90.660004,88.639999,90.500000,84.311035,3612455
2016-07-12,91.500000,91.900002,90.720001,91.239998,85.000420,4007980
2016-07-13,91.339996,91.680000,90.199997,90.940002,84.720947,3089660
2016-07-14,91.180000,91.800003,90.900002,90.900002,84.683685,2813090
2016-07-15,90.379997,90.419998,89.500000,89.860001,83.714806,2888325
2016-07-18,89.860001,90.480003,89.360001,89.360001,83.249001,3307445
2016-07-19,89.339996,90.459999,88.820000,90.160004,83.994286,3393620
2016-07-20,90.500000,91.760002,90.059998,91.760002,85.484871,3452040
2016-07-21,92.000000,92.000000,90.720001,91.360001,85.112213,3281500
2016-07-22,91.139999,92.099998,90.599998,91.580002,85.317177,2282685
2016-07-25,91.199997,91.940002,90.500000,90.620003,84.422829,3019625
2016-07-26,90.500000,91.760002,90.500000,91.519997,85.261276,2699215
2016-07-27,91.879997,92.660004,91.599998,92.400002,86.081108,3169010
2016-07-28,93.059998,94.720001,93.059998,93.440002,87.049980,4617250
2016-07-29,93.639999,93.699997,92.680000,92.879997,86.528275,3262210
2016-08-01,93.500000,93.879997,92.480003,92.480003,86.155632,2715040
2016-08-02,92.360001,92.800003,90.639999,90.839996,84.627777,3528350
2016-08-03,91.000000,92.879997,90.620003,92.839996,86.490997,3620090
2016-08-04,93.720001,94.900002,93.599998,94.680000,88.205170,5396195
2016-08-05,94.919998,95.699997,94.139999,94.779999,88.298347,3106605
2016-08-08,94.879997,95.559998,94.800003,95.040001,88.540558,2452655
2016-08-09,95.099998,97.620003,95.099998,97.620003,90.944122,4774720
2016-08-10,97.620003,97.820000,96.160004,96.720001,90.105667,4249095
2016-08-11,97.199997,98.300003,97.099998,97.540001,90.869591,3728040
2016-08-12,97.879997,98.379997,97.139999,98.180000,91.465820,3397230
2016-08-15,98.300003,99.139999,98.040001,99.040001,92.267014,3948035
2016-08-16,98.599998,98.940002,97.620003,98.000000,91.298134,4341405
2016-08-17,98.180000,98.239998,96.660004,97.480003,90.813698,4258060
2016-08-18,106.000000,109.599998,105.400002,107.099998,99.775818,21845465
2016-08-19,108.000000,108.800003,106.000000,107.800003,100.427956,8557620
2016-08-22,107.699997,113.199997,107.699997,113.000000,105.272346,10077305
2016-08-23,112.599998,112.599998,110.599998,110.699997,103.129623,5324855
2016-08-24,110.199997,112.199997,109.900002,111.300003,103.688599,3409415
2016-08-25,111.000000,111.800003,109.900002,110.800003,103.222786,3132530
2016-08-26,110.800003,111.800003,110.199997,111.400002,103.781761,2242050
2016-08-29,111.300003,111.300003,109.199997,110.099998,102.570656,3358760
2016-08-30,110.300003,112.000000,110.300003,111.400002,103.781761,2969640
2016-08-31,110.900002,112.099998,110.599998,110.699997,103.129623,4170365
2016-09-01,111.199997,112.300003,110.800003,110.900002,103.315956,3190195
2016-09-02,111.199997,112.500000,110.800003,112.000000,104.340729,2392420
2016-09-05,112.300003,113.199997,112.099998,113.000000,105.272346,2049915
2016-09-06,113.199997,113.599998,112.400002,112.400002,104.713379,2921495
2016-09-07,112.900002,113.800003,112.599998,113.400002,105.644989,1963445
2016-09-08,113.699997,113.800003,111.699997,112.400002,104.713379,2567615
2016-09-09,112.699997,113.300003,110.000000,110.000000,102.477493,3945150
2016-09-12,107.199997,110.400002,106.699997,109.900002,102.384338,3976030
2016-09-13,110.400002,111.500000,108.900002,109.900002,102.384338,3251745
2016-09-14,110.199997,110.800003,109.500000,109.800003,102.291183,2507775
2016-09-15,109.599998,110.300003,109.199997,109.900002,102.384338,2800835
2016-09-16,109.900002,110.300003,108.900002,109.400002,101.918533,3716210
2016-09-19,109.900002,111.000000,109.900002,110.800003,103.222786,1872075
2016-09-20,110.599998,111.900002,110.400002,111.400002,103.781761,2341130
2016-09-21,112.000000,112.300003,109.699997,110.300003,102.756981,2920805
2016-09-22,110.900002,112.300003,110.800003,111.599998,103.968071,2652100
2016-09-23,111.099998,111.099998,109.699997,110.300003,102.756981,3015760
2016-09-26,110.000000,110.000000,109.199997,109.500000,102.011696,1716970
2016-09-27,110.199997,110.400002,107.800003,108.000000,100.614273,3382965
2016-09-28,108.500000,109.599998,108.500000,109.099998,101.639046,2768700
2016-09-29,110.300003,110.599998,108.900002,109.199997,101.732201,2513140
2016-09-30,108.000000,109.400002,107.199997,109.099998,101.639046,4020440
2016-10-03,109.199997,110.300003,109.099998,109.599998,102.104851,2738960
2016-10-04,110.099998,111.000000,109.500000,110.800003,103.222786,3795050
2016-10-05,110.000000,111.199997,109.500000,110.599998,103.036453,2910425
2016-10-06,111.400002,112.500000,111.199997,111.599998,103.968071,3158815
2016-10-07,111.500000,111.599998,109.500000,109.599998,102.104851,3321630
2016-10-10,109.800003,110.699997,109.500000,110.199997,102.663811,2620745
2016-10-11,109.800003,109.800003,105.800003,105.900002,98.657890,6450805
2016-10-12,105.800003,106.400002,104.500000,105.599998,98.378403,4418415
2016-10-13,104.900002,105.000000,103.099998,103.900002,96.794655,3578820
2016-10-14,104.000000,106.599998,104.000000,106.500000,99.216858,3204415
2016-10-17,106.000000,106.900002,105.699997,106.800003,99.496346,1759095
2016-10-18,107.199997,108.199997,106.900002,107.699997,100.334770,2738740
2016-10-19,107.800003,108.699997,107.199997,108.699997,101.266388,2562580
2016-10-20,109.099998,109.500000,107.800003,108.800003,101.359566,2884595
2016-10-21,108.599998,109.599998,108.099998,109.000000,101.545883,1866900
2016-10-24,109.500000,110.199997,109.400002,109.800003,102.291183,2072520
2016-10-25,109.699997,111.300003,108.400002,108.400002,100.986923,2501310
2016-10-26,108.400002,108.900002,107.199997,107.900002,100.521111,2172270
2016-10-27,107.900002,108.599998,106.900002,108.099998,100.707443,2377975
2016-10-28,108.000000,108.400002,107.099998,108.099998,100.707443,2443245
2016-10-31,107.300003,108.800003,107.300003,108.699997,101.266388,2615555
2016-11-01,109.599998,109.800003,105.400002,105.400002,98.192078,4257275
2016-11-02,104.000000,104.599998,101.099998,101.099998,94.186142,7148270
2016-11-03,100.800003,101.699997,99.860001,99.919998,93.086830,5260155
2016-11-04,99.919998,100.400002,99.040001,99.559998,92.751457,5391745
2016-11-07,104.000000,104.400002,102.400002,103.699997,96.608330,7361285
2016-11-08,108.000000,108.000000,94.000000,94.220001,87.776634,33619300
2016-11-09,82.000000,89.720001,81.199997,86.199997,80.305092,24523730
2016-11-10,89.199997,89.279999,84.900002,85.220001,79.392120,10669740
2016-11-11,84.699997,87.400002,83.879997,86.500000,80.584579,10691750
2016-11-14,87.279999,87.800003,86.540001,86.699997,80.770897,7112725
2016-11-15,87.139999,88.500000,87.000000,88.080002,82.056534,5971890
2016-11-16,89.120003,89.120003,87.139999,87.900002,81.888847,5756805
2016-11-17,88.000000,89.320000,87.800003,88.620003,82.559601,5387830
2016-11-18,89.080002,89.239998,88.000000,88.059998,82.037895,4698165
2016-11-21,88.360001,89.419998,87.300003,88.320000,82.280113,4323720
2016-11-22,88.680000,88.779999,86.199997,86.379997,80.472786,4867105
2016-11-23,86.580002,88.680000,85.779999,88.040001,82.019264,7004700
2016-11-24,88.400002,92.940002,88.199997,92.620003,86.286064,8346830
2016-11-25,92.820000,94.000000,91.620003,93.800003,87.385361,5238440
2016-11-28,94.620003,95.820000,93.760002,94.860001,88.372871,6694395
2016-11-29,94.800003,94.800003,93.260002,94.040001,87.608940,4983225
2016-11-30,93.459999,93.660004,92.239998,92.639999,86.304688,7046205
2016-12-01,93.040001,93.500000,90.059998,90.059998,83.901115,5562685
2016-12-02,89.599998,89.800003,87.500000,87.500000,81.516197,6809590
2016-12-05,87.199997,88.660004,86.459999,87.500000,81.516197,5686640
2016-12-06,86.599998,86.599998,84.839996,85.059998,79.243050,8371320
2016-12-07,85.559998,85.919998,84.699997,85.239998,79.410744,6430375
2016-12-08,84.900002,84.900002,80.879997,81.080002,75.535233,13080655
2016-12-09,81.220001,81.480003,79.180000,79.400002,73.970116,10551420
2016-12-12,79.459999,80.760002,78.459999,79.800003,74.342766,6990830
2016-12-13,80.000000,82.400002,79.459999,81.300003,75.740181,7438510
2016-12-14,81.260002,82.900002,80.139999,82.820000,77.156242,8548980
2016-12-15,83.320000,85.400002,83.059998,84.680000,78.889038,8899910
2016-12-16,87.300003,87.320000,85.300003,86.500000,80.584579,8656065
2016-12-19,86.500000,86.620003,85.099998,85.500000,79.652962,4792340
2016-12-20,85.580002,86.959999,85.379997,86.800003,80.864059,4336240
2016-12-21,86.519997,88.080002,86.519997,87.860001,81.851578,5147925
2016-12-22,87.900002,89.000000,87.660004,88.459999,82.410530,4064925
2016-12-23,88.400002,88.699997,87.260002,87.739998,81.739784,5449435
2016-12-27,88.120003,88.300003,87.540001,88.239998,82.205582,1644110
2016-12-28,88.639999,89.559998,88.419998,89.480003,83.360786,4755915
2016-12-29,89.000000,89.940002,88.500000,89.940002,83.789322,5319105
2016-12-30,90.040001,91.879997,89.480003,91.800003,85.522133,6242210
2017-01-02,92.379997,96.519997,92.199997,96.019997,89.453537,6963005
2017-01-03,99.000000,99.000000,94.099998,94.199997,87.757996,10021875
2017-01-04,94.279999,95.059998,92.820000,92.860001,86.509636,6445565
2017-01-05,93.059998,93.839996,92.639999,93.180000,86.807755,3542345
2017-01-06,93.180000,96.379997,92.040001,94.080002,87.646210,9063505
2017-01-09,94.599998,95.760002,94.019997,94.360001,87.907059,5572875
2017-01-10,94.599998,95.580002,93.980003,94.400002,87.944321,3841330
2017-01-11,95.440002,97.099998,95.080002,96.120003,89.546700,6264090
2017-01-12,95.199997,95.580002,94.440002,94.519997,88.056114,3845175
2017-01-13,94.800003,95.900002,94.519997,95.099998,88.596451,4056300
2017-01-16,95.599998,95.980003,95.180000,95.599998,89.062263,3153315
2017-01-17,95.419998,95.419998,94.120003,94.519997,88.056114,3111500
2017-01-18,94.519997,94.919998,93.800003,94.900002,88.410133,3131210
2017-01-19,95.000000,95.000000,93.779999,94.199997,87.757996,3326350
2017-01-20,94.199997,95.260002,94.180000,95.260002,88.745514,3495655
2017-01-23,94.459999,94.699997,93.160004,93.199997,86.826378,4153870
2017-01-24,93.379997,94.260002,91.800003,93.139999,86.770485,5787205
2017-01-25,93.839996,94.199997,93.199997,94.099998,87.664841,3696335
2017-01-26,94.099998,95.139999,93.720001,94.699997,88.223808,3888100
2017-01-27,95.080002,97.019997,94.919998,97.019997,90.385155,5827015
2017-01-30,96.199997,97.120003,96.000000,96.000000,89.434906,2909070
2017-01-31,95.919998,97.239998,95.239998,96.320000,89.733025,3763435
2017-02-01,97.959999,101.000000,97.820000,99.400002,92.602394,9116885
2017-02-02,99.400002,101.199997,98.440002,100.699997,93.813499,4178145
2017-02-03,101.199997,101.900002,100.599998,101.400002,94.465622,4358270
2017-02-06,101.599998,101.800003,99.699997,100.000000,93.161354,4986345
2017-02-07,100.099998,100.300003,98.379997,98.480003,91.745316,6067765
2017-02-08,101.599998,102.400002,99.059998,100.400002,93.534012,13015275
2017-02-09,101.000000,101.400002,99.300003,101.199997,94.279297,5053115
2017-02-10,101.599998,101.800003,99.820000,100.900002,93.999817,4207880
2017-02-13,101.300003,101.800003,99.879997,101.699997,94.745110,4647325
2017-02-14,101.400002,103.500000,101.000000,103.000000,95.956207,5216600
2017-02-15,103.500000,103.900002,102.099998,103.800003,96.701492,4361760
2017-02-16,103.699997,104.199997,102.699997,103.900002,96.794655,3849420
2017-02-17,103.599998,103.599998,102.699997,103.400002,96.328850,3905990
2017-02-20,103.599998,103.800003,102.300003,102.699997,95.676720,2598040
2017-02-21,102.500000,105.699997,102.099998,105.699997,98.471550,5667080
2017-02-22,105.400002,105.500000,104.099998,105.199997,98.005753,4051585
2017-02-23,105.300003,106.699997,105.199997,106.000000,98.751045,5086360
2017-02-24,105.400002,106.099998,103.699997,104.099998,96.980980,6246945
2017-02-27,104.500000,104.900002,103.099998,103.199997,96.142517,2837960
2017-02-28,103.599998,104.099998,101.800003,104.099998,96.980980,5488675
2017-03-01,104.800003,105.699997,104.800003,105.599998,98.378403,3214590
2017-03-02,105.800003,106.500000,104.599998,105.000000,97.819427,3359300
2017-03-03,104.599998,104.800003,103.699997,104.099998,96.980980,2897610
2017-03-06,104.400002,105.500000,104.300003,105.099998,97.912590,3823960
2017-03-07,105.199997,105.400002,104.300003,105.099998,97.912590,2883020
2017-03-08,104.800003,105.599998,104.599998,105.599998,98.378403,2827200
2017-03-09,105.099998,105.500000,103.000000,103.900002,96.794655,4889565
2017-03-10,103.900002,105.099998,103.699997,105.000000,97.819427,3466560
